gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2019-03-17,0,1.0,0.992200352325,0.904551141974,0.718727000878,0.526761353387,0.322892194225,0.193606781743,1,1,150,Duke,96.3,East,1,0
mens,2019-03-17,0,1.0,0.981357722848,0.881893080055,0.723111649412,0.485442592416,0.310674829792,0.17018628468,1,1,258,Virginia,95.2,South,1,96
mens,2019-03-17,0,1.0,0.988217638292,0.869818783591,0.700212503218,0.48487134741,0.257876292896,0.145551920452,1,1,2250,Gonzaga,95.0,West,1,32
mens,2019-03-17,0,1.0,0.9780136143,0.862819543086,0.57447470635,0.354007675187,0.179290753562,0.087819811499,1,1,153,North Carolina,93.25,Midwest,1,64
mens,2019-03-17,0,1.0,0.963916589553,0.73451766901,0.535041987428,0.221705439562,0.121318366761,0.065443733016,1,1,127,Michigan State,92.19,East,2,28
mens,2019-03-17,0,1.0,0.952234569754,0.70842503385,0.460443584305,0.219487655174,0.119997552756,0.055291750762,1,1,2633,Tennessee,91.65,South,2,124
mens,2019-03-17,0,1.0,0.969106417741,0.731470440588,0.46882882554,0.241292412812,0.11270876289,0.051192609945,1,1,96,Kentucky,91.24,Midwest,2,92
mens,2019-03-17,0,1.0,0.940605972774,0.693442636519,0.401707922609,0.170338192685,0.081057479426,0.04158610304,1,1,130,Michigan,91.13,West,2,60
mens,2019-03-17,0,1.0,0.906249517469,0.652224844409,0.340959073113,0.141634573445,0.056807466283,0.025153733215,1,1,2641,Texas Tech,89.65,West,3,52
mens,2019-03-17,0,1.0,0.880189949978,0.507859072496,0.245511070223,0.102425332112,0.052162465226,0.022299532054,1,1,2509,Purdue,89.09,South,3,116
mens,2019-03-17,0,1.0,0.872634432465,0.546490967891,0.160450378887,0.086439334928,0.036723178656,0.015727426677,1,1,259,Virginia Tech,88.74,East,4,12
mens,2019-03-17,0,1.0,0.762941279216,0.474088856616,0.196014924419,0.099763892899,0.03979217077,0.01561833576,1,1,2,Auburn,88.65,Midwest,5,72
mens,2019-03-17,0,1.0,0.89817903701,0.543308143158,0.244247187174,0.101992659808,0.037379952447,0.01357280829,1,1,248,Houston,88.13,Midwest,3,84
mens,2019-03-17,0,1.0,0.788916578578,0.512784205073,0.148175640716,0.06983294433,0.026216554902,0.010961687785,1,1,52,Florida State,88.39,West,4,44
mens,2019-03-17,0,1.0,0.825462547618,0.394544851881,0.160575528553,0.080717691791,0.028082833318,0.009721003524,1,1,2305,Kansas,86.3,Midwest,4,76
mens,2019-03-17,0,1.0,0.674480675817,0.323187842748,0.143494648067,0.059198188968,0.022781876766,0.008652103345,1,1,66,Iowa State,86.16,Midwest,6,80
mens,2019-03-17,0,1.0,0.54814471829,0.307624716975,0.084816343603,0.036752529966,0.017838581162,0.007254090905,1,1,275,Wisconsin,86.7,South,5,104
mens,2019-03-17,0,1.0,0.752306501073,0.388630433901,0.144682034792,0.047058632106,0.019901363806,0.007031627894,1,1,222,Villanova,86.95,South,6,112
