REGION,SEED,,TEAM,ROUND OF 64,ROUND OF 32,ROUND OF 16,ELITE 8,FINAL 4,FINALS,CHAMPIONS
Midwest,4,,Louisville,1,0.93,0.78,0.54,0.38,0.24,0.15
South,1,,Florida,1,0.99,0.84,0.62,0.41,0.26,0.14
West,1,,Arizona,1,0.98,0.73,0.58,0.42,0.23,0.13
South,2,,Kansas,1,0.92,0.67,0.42,0.21,0.12,0.06
East,1,,Virginia,1,0.96,0.71,0.39,0.23,0.12,0.06
East,4,,Michigan State,1,0.91,0.67,0.39,0.24,0.12,0.06
Midwest,3,,Duke,1,0.93,0.70,0.43,0.18,0.09,0.05
Midwest,1,,Wichita State,1,0.98,0.59,0.24,0.14,0.08,0.05
East,2,,Villanova,1,0.95,0.64,0.41,0.21,0.09,0.04
West,2,,Wisconsin,1,0.93,0.72,0.40,0.16,0.07,0.03
Midwest,2,,Michigan,1,0.95,0.74,0.37,0.14,0.06,0.03
West,3,,Creighton,1,0.88,0.54,0.30,0.12,0.05,0.03
Midwest,8,,Kentucky,1,0.74,0.34,0.14,0.08,0.04,0.02
South,6,,Ohio State,1,0.75,0.40,0.20,0.09,0.04,0.02
South,4,,UCLA,1,0.87,0.63,0.19,0.08,0.04,0.01
South,3,,Syracuse,1,0.89,0.50,0.23,0.09,0.04,0.01
East,3,,Iowa State,1,0.81,0.46,0.20,0.08,0.03,0.01
West,9,,Oklahoma State,1,0.52,0.14,0.09,0.05,0.02,0.01
East,6,,North Carolina,1,0.68,0.36,0.16,0.06,0.02,0.00
West,6,,Baylor,1,0.70,0.34,0.14,0.04,0.02,0.00
South,5,,Virginia Commonwealth,1,0.76,0.29,0.10,0.04,0.02,0.00
West,4,,San Diego State,1,0.73,0.43,0.14,0.07,0.02,0.00
East,7,,Connecticut,1,0.67,0.26,0.14,0.06,0.02,0.00
West,8,,Gonzaga,1,0.48,0.13,0.08,0.04,0.01,0.00
South,7,,New Mexico,1,0.64,0.22,0.10,0.03,0.01,0.00
West,5,,Oklahoma,1,0.64,0.33,0.08,0.03,0.01,0.00
South,9,,Pittsburgh,1,0.72,0.14,0.07,0.03,0.01,0.00
East,5,,Cincinnati,1,0.58,0.19,0.08,0.03,0.01,0.00
West,7,,Oregon,1,0.65,0.19,0.10,0.04,0.01,0.00
Midwest,11b,,Tennessee,52%,0.36,0.12,0.06,0.02,0.00,0.00
Midwest,11a,,Iowa,48%,0.32,0.09,0.05,0.02,0.00,0.00
East,8,,Memphis,1,0.55,0.17,0.06,0.02,0.00,0.00
Midwest,5,,Saint Louis,1,0.58,0.12,0.04,0.02,0.00,0.00
East,12,,Harvard,1,0.42,0.12,0.04,0.02,0.00,0.00
East,9,,George Washington,1,0.45,0.12,0.04,0.01,0.00,0.00
Midwest,7,,Texas,1,0.50,0.13,0.03,0.00,0.00,0.00
East,11,,Providence,1,0.32,0.12,0.04,0.01,0.00,0.00
South,10,,Stanford,1,0.36,0.09,0.03,0.00,0.00,0.00
Midwest,10,,Arizona State,1,0.50,0.13,0.03,0.00,0.00,0.00
Midwest,9,,Kansas State,1,0.26,0.07,0.01,0.00,0.00,0.00
Midwest,12b,,Xavier,64%,0.28,0.05,0.02,0.00,0.00,0.00
West,11,,Nebraska,1,0.30,0.09,0.03,0.00,0.00,0.00
East,10,,Saint Joseph,1,0.33,0.08,0.03,0.00,0.00,0.00
South,11,,Dayton,1,0.25,0.08,0.02,0.00,0.00,0.00
West,10,,Brigham Young,1,0.35,0.07,0.03,0.00,0.00,0.00
Midwest,6,,Massachusetts,1,0.32,0.06,0.02,0.00,0.00,0.00
West,12,,North Dakota State,1,0.36,0.15,0.02,0.00,0.00,0.00
South,8,,Colorado,1,0.28,0.02,0.00,0.00,0.00,0.00
West,13,,New Mexico State,1,0.27,0.10,0.01,0.00,0.00,0.00
South,13,,Tulsa,1,0.13,0.04,0.00,0.00,0.00,0.00
South,12,,Stephen F. Austin,1,0.24,0.04,0.00,0.00,0.00,0.00
Midwest,12a,,North Carolina State,36%,0.15,0.02,0.00,0.00,0.00,0.00
East,14,,North Carolina Central,1,0.19,0.05,0.01,0.00,0.00,0.00
Midwest,13,,Manhattan,1,0.07,0.03,0.00,0.00,0.00,0.00
East,13,,Delaware,1,0.09,0.02,0.00,0.00,0.00,0.00
Midwest,14,,Mercer,1,0.07,0.02,0.00,0.00,0.00,0.00
South,14,,Western Michigan,1,0.11,0.02,0.00,0.00,0.00,0.00
West,14,,Louisiana-Lafayette,1,0.12,0.03,0.00,0.00,0.00,0.00
South,15,,Eastern Kentucky,1,0.08,0.02,0.00,0.00,0.00,0.00
West,15,,American University,1,0.07,0.02,0.00,0.00,0.00,0.00
East,15,,Milwaukee,1,0.05,0.00,0.00,0.00,0.00,0.00
West,16,,Weber State,1,0.02,0.00,0.00,0.00,0.00,0.00
Midwest,15,,Wofford,1,0.05,0.01,0.00,0.00,0.00,0.00
East,16,,Coastal Carolina,1,0.04,0.00,0.00,0.00,0.00,0.00
South,16a,,Albany,52%,0.00,0.00,0.00,0.00,0.00,0.00
South,16b,,Mount St Marys,48%,0.00,0.00,0.00,0.00,0.00,0.00
Midwest,16a,,Cal Poly,56%,0.01,0.00,0.00,0.00,0.00,0.00
Midwest,16b,,Texas Southern,44%,0.00,0.00,0.00,0.00,0.00,0.00
